p,digits,bru_mean,bru_stddev,bru_mean_tri,bru_stddev_tri,bru_tstat,ktt_mean,ktt_stddev,ktt_mean_tri,ktt_stddev_tri,ktt_tstat,by_mean,by_stddev,by_mean_tri,by_stddev_tri,by_tstat,expcomp_mean,expcomp_stddev,expcomp_mean_tri,expcomp_stddev_tri,expcomp_tstat,expsquares_mean,expsquares_stddev,expsquares_mean_tri,expsquares_stddev_tri,expsquares_tstat,exp_mean,exp_stddev,exp_mean_tri,exp_stddev_tri,exp_tstat
7187,113,6368874.40,326375.88,6018362.40,520435.44,5.705803,1159197.40,24627.50,549907.40,7854.19,235.705725,2301133.40,246667.17,2212613.00,4980.48,3.587926,1561699.80,23484.52,1559973.00,5691.12,0.714609,10597590.40,14844.15,10597264.40,23586.47,0.116977,809715.80,9346.47,821227.60,55983.47,-2.028214
8237,129,8364095.60,969561.63,7406656.60,24308.27,9.871866,1469920.20,10981.96,694245.20,3660.34,670.077239,2390625.00,8342.81,2389446.40,6516.67,1.113327,1827586.00,5944.92,1827092.00,4004.08,0.689211,17184007.00,94680.18,17202187.80,106998.76,-1.272503,915526.20,4157.11,916658.60,7872.08,-1.272028
10853,170,13922595.20,78078.77,12951655.20,6238.99,123.958789,2336473.40,6846.69,1097220.40,1936.28,1741.693364,4044599.20,16682.88,4041125.40,16476.57,1.481508,3110983.60,12396.03,3111087.00,11716.14,-0.060622,25297424.20,57035.70,25326465.40,101984.64,-2.485339,1771415.40,2912.83,1774086.20,9720.92,-2.631863
13109,205,20491931.00,622603.57,18919684.80,16605.36,25.243789,3246316.80,11717.22,1570882.00,8093.06,1176.530885,5300937.40,17766.58,5301027.00,21023.82,-0.032552,3770875.20,12062.57,3771670.80,12759.12,-0.453114,33119433.80,41037.88,33117098.40,46398.28,0.377025,2103486.20,3941.29,2104244.80,7297.94,-0.914615
13397,210,21293264.80,996920.66,19734654.60,19703.68,15.631192,3347390.00,8543.21,1614306.60,2200.12,1964.511832,5446870.60,10862.90,5446708.40,6785.94,0.126637,3678711.80,5353.70,3678333.20,3144.11,0.609793,34034539.20,64317.22,34039584.00,63268.96,-0.559166,2047749.80,6685.55,2046729.00,3823.31,1.325443
15331,240,28056795.40,1842272.94,25667300.00,164713.74,12.918834,4277250.60,56185.82,2067586.40,34743.93,334.491117,6648405.60,100018.92,6642420.80,94474.96,0.434993,4900348.20,76380.80,4900002.40,63821.45,0.034742,42226171.00,253585.81,42219984.80,276050.20,0.165033,2939877.80,57245.13,2930711.80,33542.21,1.381499
16067,252,30382587.20,514094.66,28190093.80,65963.68,42.300870,4695806.20,42652.83,2256402.20,13685.20,544.576549,6702943.80,51894.49,6753061.00,196133.98,-2.470249,4806660.20,50391.34,4800514.80,41123.48,0.944839,45221734.20,294907.83,45380077.60,1229056.49,-1.252774,2740291.60,33052.50,2742822.40,34031.56,-0.533467
16229,254,31722889.20,1891566.44,29063220.00,122465.27,14.031294,4694091.60,33582.15,2279695.40,19891.89,618.578412,6724461.80,58861.04,6720841.80,52343.67,0.459574,5133151.80,37246.25,5148351.40,105653.79,-1.356782,46011999.60,192891.15,46017951.40,181764.19,-0.224564,2917695.00,26848.76,2916698.80,27931.13,0.257132
19709,308,45575386.60,224989.41,42380094.60,70445.20,135.531575,6764716.40,85788.82,3296293.40,13365.47,399.478776,10310837.60,30579.31,10308831.80,23172.47,0.522788,7576635.00,21053.46,7579690.00,25727.12,-0.918975,81895383.80,230106.19,81844990.20,100666.13,2.006415,4695404.20,30150.40,4693239.60,19082.94,0.606636
20981,328,51657051.60,157230.81,48015480.00,33025.38,226.660740,7556269.00,28507.54,3710654.80,16732.28,1163.390073,11196952.20,29945.48,11178353.60,10646.08,5.852000,7857809.20,137619.44,7800911.40,19892.81,4.091902,89587471.20,316807.59,89382088.00,112000.68,6.112184,4895648.20,10764.44,4898260.00,28552.67,-0.855924
21611,338,54956980.40,81332.13,51194939.80,35454.05,424.017267,8000344.20,95466.73,3914369.00,11823.93,424.754491,11407319.00,38644.88,11419464.60,46079.73,-2.019569,7268007.20,20700.23,7266920.00,17109.49,0.404829,94080496.00,935287.04,94209171.20,909157.15,-0.986508,4576126.00,18124.84,4581248.40,39839.95,-1.170324
22901,358,62186967.60,2063371.14,57477738.80,11927.51,22.822603,8858165.20,11943.32,4394200.80,12543.36,2577.362879,11667615.00,15880.55,11665821.20,12105.40,0.898324,8562007.60,28900.88,8574666.00,4535.45,-4.326979,101717262.20,112795.51,101697885.40,104931.30,1.257772,5257624.80,7764.08,5257319.80,8896.94,0.258292
23371,366,64996685.60,2743158.61,59960809.20,28082.37,18.356986,9267820.80,20544.72,4535281.40,8566.98,2126.090448,11805428.00,26453.55,11793650.20,11903.24,4.060158,8120296.60,23517.92,8116711.20,4038.56,1.502547,105224090.20,168612.48,105302524.00,190389.31,-3.084069,5057833.20,13485.33,5059960.00,28265.37,-0.679109
25579,400,76589311.40,306064.26,71367855.60,88443.04,163.894329,10906522.60,110839.90,5388909.20,18249.93,491.186781,13449986.40,18896.55,13441627.40,22449.32,2.848654,9097204.40,44564.97,9107660.60,48935.55,-1.579796,119787535.40,1003657.61,119684350.00,577485.04,0.891114,5597524.40,7788.26,5599859.00,22829.56,-0.967851
28277,442,94263290.20,299716.12,87933027.20,365771.67,133.865212,13221080.60,128471.81,6550423.80,78871.18,442.496920,20024899.60,1289084.70,20448129.80,882636.19,-2.709017,13504138.20,533345.98,13608885.20,444906.99,-1.508127,143408586.60,417765.89,143474381.60,474419.02,-1.040829,9083607.20,650692.62,9457440.80,660181.58,-4.032932
28411,444,94610992.20,386913.92,87991605.60,26329.05,170.686898,13423327.60,10967.17,6607154.80,11579.61,4273.767545,17511886.60,18178.59,17501874.40,27470.47,3.039465,13120726.40,4949.47,13131865.80,108755.58,-1.023201,142583988.20,132479.63,142769151.60,1380767.15,-1.334888,8978193.00,966978.19,8730918.80,194895.07,2.506776
30803,482,112420385.40,1436517.67,104679877.60,596998.63,49.757968,15622464.40,144605.88,7757292.80,115455.77,425.045714,19631753.00,185727.40,19613589.60,149515.69,0.761787,12347247.60,130737.25,12342759.00,147957.46,0.227337,163023836.20,879188.82,163168750.00,1304658.85,-0.921113,8485064.20,222829.57,8345378.60,196923.30,4.697290
35117,549,145454923.60,131886.17,135555369.20,139925.42,514.840621,20323059.00,91223.87,10133323.80,61478.30,926.286869,21432919.40,123836.52,21424904.40,111251.02,0.481468,14105630.40,92926.74,14109705.60,98326.36,-0.301219,256737134.20,243408.43,256816105.80,384487.54,-1.735416,9378049.20,72785.32,9378583.40,79601.27,-0.049527
35507,555,148202625.60,117945.55,138176680.60,367305.07,259.889409,20936273.00,98720.31,10761311.60,936854.95,108.009651,22369455.60,1456409.34,22131803.80,401776.74,1.573007,14518979.40,685780.39,14403378.00,156025.48,1.643687,261421235.40,4650801.19,260134563.60,277538.54,2.761646,9621184.20,40574.93,9626364.60,57897.04,-0.732737
36629,573,158941209.00,1970315.02,149167295.80,2956774.50,27.507979,22957209.20,768561.49,11650232.80,411664.76,129.686721,23348801.40,667798.54,23263539.00,493696.05,1.026669,15177688.20,159044.07,15197599.80,159703.02,-0.883434,274770918.60,973845.96,275613200.60,3544486.94,-2.291403,10076641.20,117152.29,10086076.80,139767.93,-0.517381
40787,638,196929065.20,2422285.67,182612266.40,207651.90,58.888516,27063629.40,91807.18,13431764.20,28368.02,1418.654780,28987888.40,114367.47,28962890.80,36854.92,2.080376,17682828.60,24519.94,17683624.40,27460.82,-0.216163,320387425.40,352635.98,320521733.40,427932.25,-2.422115,12150942.00,783746.93,11982415.00,31063.83,2.148586
42677,667,214790361.00,4592964.59,199164059.00,91008.77,34.015580,29510000.00,96411.33,14714769.80,16548.63,1512.475751,32262773.20,29782.37,32264883.00,28972.88,-0.507772,19342802.00,6806.28,19345076.80,14742.21,-1.400950,343968765.20,1499767.07,343901694.40,1342519.19,0.333209,13344390.20,244257.28,13359696.80,537202.57,-0.259379
48371,756,274893671.40,1477589.82,256040461.60,203955.40,126.395913,37725077.40,21661.44,18934285.20,31992.75,4863.523134,34922057.20,114026.48,34898543.60,35541.13,1.968702,22206770.40,24713.16,22211909.20,46449.83,-0.976682,417034409.00,2251392.00,417925651.20,6040739.89,-1.382489,14827613.00,104199.70,14782416.60,24684.44,4.220665
52667,823,325854983.00,367507.65,304299229.60,1393279.25,149.595769,45033239.40,56152.85,22595113.40,72255.51,2451.997722,39038512.20,1901772.13,38810034.00,78159.50,1.200383,22177420.00,2170853.01,21662702.40,198354.96,2.361202,474298878.00,404211.13,474194009.60,433002.91,1.770380,13711557.00,15281.08,13707727.60,12158.67,1.960974
58171,909,399131155.00,2979449.29,371965979.80,248034.88,90.860851,54986958.00,260043.82,27556753.60,168170.50,885.748537,50907356.20,290691.10,51022925.40,727579.78,-1.475036,29189824.20,181278.97,29183246.20,184803.64,0.254103,568372615.00,12826933.79,563897145.40,290089.58,3.488227,21056187.80,58804.81,21062209.60,46556.17,-0.802872
61717,965,448249901.00,2705489.02,417991023.40,235488.40,111.421270,61625946.60,116939.29,31015016.80,58341.78,2342.345142,54401236.20,57924.59,54394648.20,34081.80,0.980250,31306422.60,135044.49,31293005.60,25218.12,0.976642,623609013.00,620124.84,623593660.40,602784.76,0.177525,22448997.00,62383.60,22402545.40,56787.97,5.506362
83579,1306,834007747.80,4611116.85,771274410.00,4839112.44,93.852250,110553683.60,941708.17,55790509.20,282843.10,556.951066,85570203.00,370776.54,85500883.00,327135.61,1.401927,48987526.40,516358.35,49280921.60,746031.18,-3.233727,1370972271.00,10104921.29,1361985947.60,8632115.30,6.761742,35664757.60,32241.27,35690666.60,97792.33,-2.516168
