"p","bru_mean","ktt_mean","by_before_mean","by_after_mean","expcomp_mean","expsquares_mean","exp_mean"
7187,6368874.4,1159197.4,2301133.4,1782584.6,1561699.8,10597590.4,809715.8
8237,8364095.6,1469920.2,2390625,1962955.5,1827586,17184007,915526.2
10853,13922595.2,2336473.4,4044599.2,3299358.6,3110983.6,25297424.2,1771415.4
13109,20491931,3246316.8,5300937.4,4362019.9,3770875.2,33119433.8,2103486.2
13397,21293264.8,3347390,5446870.6,4522305.42,3678711.8,34034539.2,2047749.8
15331,28056795.4,4277250.6,6648405.6,5368479.5,4900348.2,42226171,2939877.8
16067,30382587.2,4695806.2,6702943.8,5286806.16,4806660.2,45221734.2,2740291.6
16229,31722889.2,4694091.6,6724461.8,5325745.7,5133151.8,46011999.6,2917695
19709,45575386.6,6764716.4,10310837.6,8352941.2,7576635,81895383.8,4695404.2
20981,51657051.6,7556269,11196952.2,9162305.2,7857809.2,89587471.2,4895648.2
21611,54956980.4,8000344.2,11407319,9307480.6,7268007.2,94080496,4576126
22901,62186967.6,8858165.2,11667615,9655103.68,8562007.6,101717262.2,5257624.8
23371,64996685.6,9267820.8,11805428,9723034.62,8120296.6,105224090.2,5057833.2
25579,76589311.4,10906522.6,13449986.4,11202767.42,9097204.4,119787535.4,5597524.4
28277,94263290.2,13221080.6,20024899.6,14555232.2,13504138.2,143408586.6,9083607.2
28411,94610992.2,13423327.6,17511886.6,14622453.44,13120726.4,142583988.2,8978193
30803,112420385.4,15622464.4,19631753,17820851.56,12347247.6,163023836.2,8485064.2
35117,145454923.6,20323059,21432919.4,17008580.68,14105630.4,256737134.2,9378049.2
35507,148202625.6,20936273,22369455.6,17287261.4,14518979.4,261421235.4,9621184.2
36629,158941209,22957209.2,23348801.4,18419434.4,15177688.2,274770918.6,10076641.2
40787,196929065.2,27063629.4,28987888.4,24264261.8,17682828.6,320387425.4,12150942
42677,214790361,29510000,32262773.2,26849432.52,19342802,343968765.2,13344390.2
48371,274893671.4,37725077.4,34922057.2,27695913.8,22206770.4,417034409,14827613
52667,325854983,45033239.4,39038512.2,30734590.3,22177420,474298878,13711557
58171,399131155,54986958,50907356.2,42328589.2,29189824.2,568372615,21056187.8
61717,448249901,61625946.6,54401236.2,45814829.52,31306422.6,623609013,22448997
83579,834007747.8,110553683.6,85570203,71488995.4,48987526.4,1370972271,35664757.6
